DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,GrupoEtarioDelSolicitante,NumeroDeSolicitantes
Antioquia,Puerto Nare,05585,Mayor Joven Entre 60-69 Años,13
Putumayo,Orito,86320,Adulto,704
Meta,Restrepo,50606,Mayor Mayor Entre 80-89 Años,3
Cundinamarca,Granada,25312,Mayor Adulto Entre 70-79 Años,2
Boyacá,Aquitania,15047,Mayor Adulto Entre 70-79 Años,15
Valle Del Cauca,Jamundí,76364,Adulto Joven,0
Cundinamarca,Pulí,25580,Adulto,9
Antioquia,Angelópolis,05036,Adulto Joven,1
Antioquia,Granada,05313,NoReporta,10
Nariño,Mosquera,52473,Nonagenario,1
Magdalena,El Piñon,47258,Mayor Joven Entre 60-69 Años,45
Cundinamarca,Pasca,25535,NoReporta,1
Antioquia,Betania,05091,Mayor Joven Entre 60-69 Años,24
Cauca,Guapí,19318,Mayor Mayor Entre 80-89 Años,9
Santander,Charta,68169,NoReporta,1
Nariño,Contadero,52210,Adulto,2
Bolívar,Tiquisio,13810,Nonagenario,7
Caldas,Marmato,17442,NoReporta,3
Valle Del Cauca,El Dovio,76250,Mayor Mayor Entre 80-89 Años,11
Cesar,Curumaní,20228,Mayor Mayor Entre 80-89 Años,57
Meta,San Juan De Arama,50683,NoReporta,1
Cundinamarca,Pacho,25513,Infancia,21
Cauca,Popayán,19001,Mayor Mayor Entre 80-89 Años,108
Casanare,Trinidad,85430,Adulto Joven,1
Tolima,San Antonio,73675,NoReporta,13
Atlántico,Barranquilla,08001,Mayor Mayor Entre 80-89 Años,6
Antioquia,Ebéjico,05240,Mayor Joven Entre 60-69 Años,3
Cundinamarca,Arbeláez,25053,NoReporta,1
Antioquia,Caucasia,05154,Mayor Adulto Entre 70-79 Años,48
Antioquia,Granada,05313,Adulto Joven,5
Bolívar,Río Viejo,13600,Mayor Joven Entre 60-69 Años,14
Quindío,Calarcá,63130,Adulto,13
Norte Santander,Los Patios,54405,Mayor Mayor Entre 80-89 Años,2
Valle Del Cauca,Versalles,76863,Mayor Adulto Entre 70-79 Años,7
Santander,Molagavita,68468,Mayor Adulto Entre 70-79 Años,1
Valle Del Cauca,Sevilla,76736,Adulto,24
Huila,Isnos,41359,Mayor Joven Entre 60-69 Años,16
Sucre,El Roble,70233,Adulto,12
Meta,Cabuyaro,50124,Centenario,1
Meta,El Castillo,50251,NoReporta,4
Caquetá,El Doncello,18247,Adulto,50
Putumayo,Mocoa,86001,Adulto,87
La Guajira,Albania,44035,Mayor Adulto Entre 70-79 Años,3
Córdoba,Lorica,23417,Mayor Adulto Entre 70-79 Años,4
Atlántico,Luruaco,08421,NoReporta,0
Antioquia,Cañasgordas,05138,Mayor Adulto Entre 70-79 Años,10
Antioquia,Santa Bárbara,05679,Nonagenario,1
Cauca,Inzá,19355,NoReporta,2
Quindío,Armenia,63001,Adulto,17
Magdalena,Puebloviejo,47570,Mayor Mayor Entre 80-89 Años,21
Santander,California,68132,Adulto,2
Norte Santander,Abrego,54003,NoReporta,2
Chocó,El Carmen De Atrato,27245,Mayor Mayor Entre 80-89 Años,18
Santander,Guaca,68318,Mayor Adulto Entre 70-79 Años,3
Risaralda,Pueblo Rico,66572,Centenario,1
Cauca,López,19418,Mayor Joven Entre 60-69 Años,27
Cesar,San Alberto,20710,Mayor Joven Entre 60-69 Años,142
Santander,Enciso,68266,Adulto,2
Magdalena,Plato,47555,Centenario,1
Caldas,Aguadas,17013,Mayor Joven Entre 60-69 Años,11
Casanare,Aguazul,85010,Mayor Adulto Entre 70-79 Años,20
Tolima,Rovira,73624,Mayor Mayor Entre 80-89 Años,29
Tolima,Mariquita,73443,Mayor Mayor Entre 80-89 Años,5
Santander,Puerto Parra,68573,Adulto,79
Tolima,Natagaima,73483,Mayor Joven Entre 60-69 Años,85
Valle Del Cauca,San Pedro,76670,Nonagenario,3
Meta,Vistahermosa,50711,Mayor Adulto Entre 70-79 Años,138
Antioquia,Caracolí,05142,Adulto,3
La Guajira,Distracción,44098,Mayor Joven Entre 60-69 Años,22
Chocó,Medio Atrato,27425,Adulto Joven,2
Córdoba,Montelíbano,23466,Infancia,1
Norte Santander,El Tarra,54250,Adulto,70
Cauca,Toribio,19821,NoReporta,1
Cauca,Santa Rosa,19701,Adulto,140
Antioquia,Liborina,05411,Mayor Adulto Entre 70-79 Años,2
Magdalena,Santa Ana,47707,Mayor Mayor Entre 80-89 Años,16
Risaralda,Mistrató,66456,Mayor Mayor Entre 80-89 Años,12
Tolima,Villarrica,73873,Mayor Mayor Entre 80-89 Años,17
Bolívar,Zambrano,13894,Adulto Joven,1
Putumayo,Sibundoy,86749,Mayor Joven Entre 60-69 Años,4
Santander,San Gil,68679,Adulto,1
Meta,Cubarral,50223,NoReporta,1
Cauca,Bolívar,19100,Mayor Joven Entre 60-69 Años,77
Antioquia,Maceo,05425,Mayor Joven Entre 60-69 Años,19
Cauca,Paez,19517,Adulto Joven,10
Antioquia,Dabeiba,05234,NoReporta,15
Cauca,Puerto Tejada,19573,Adulto,6
Magdalena,Salamina,47675,Adulto Joven,1
Sucre,Ovejas,70508,Adulto,226
Nariño,La Tola,52390,Mayor Mayor Entre 80-89 Años,4
Antioquia,Ituango,05361,Nonagenario,3
Cundinamarca,Tibacuy,25805,NoReporta,2
Cundinamarca,Quebradanegra,25592,Mayor Joven Entre 60-69 Años,2
Valle Del Cauca,Cali,76001,Mayor Adulto Entre 70-79 Años,43
Arauca,Fortul,81300,Adulto,36
Caquetá,Solita,18785,Mayor Mayor Entre 80-89 Años,3
Santander,Lebríja,68406,Nonagenario,2
Magdalena,Algarrobo,47030,Adulto Joven,1
Córdoba,Ciénaga De Oro,23189,Adulto,2
Nariño,Barbacoas,52079,Mayor Mayor Entre 80-89 Años,15
Santander,Zapatoca,68895,Mayor Joven Entre 60-69 Años,12
Santander,Floridablanca,68276,Mayor Mayor Entre 80-89 Años,1
Sucre,San Marcos,70708,Mayor Mayor Entre 80-89 Años,7
Cauca,Corinto,19212,Adulto,45
Bolívar,San Juan Nepomuceno,13657,Mayor Adulto Entre 70-79 Años,119
Valle Del Cauca,Dagua,76233,Adulto,100
Cauca,Padilla,19513,NoReporta,1
Valle Del Cauca,Vijes,76869,Nonagenario,1
Cauca,Balboa,19075,Nonagenario,2
Huila,Pitalito,41551,Mayor Adulto Entre 70-79 Años,13
Atlántico,Piojó,08549,Adulto,13
Cesar,El Paso,20250,Mayor Adulto Entre 70-79 Años,16
Sucre,Coloso,70204,Mayor Adulto Entre 70-79 Años,62
Cesar,Aguachica,20011,Mayor Adulto Entre 70-79 Años,51
Santander,San José De Miranda,68684,Nonagenario,1
Chocó,San José Del Palmar,27660,NoReporta,4
Meta,San Juan De Arama,50683,Mayor Joven Entre 60-69 Años,55
Putumayo,San Miguel,86757,Mayor Adulto Entre 70-79 Años,85
Antioquia,Apartadó,05045,Mayor Joven Entre 60-69 Años,215
Córdoba,Montería,23001,Nonagenario,64
Cesar,El Copey,20238,Centenario,2
Norte Santander,Abrego,54003,Mayor Joven Entre 60-69 Años,80
Antioquia,Nechí,05495,NoReporta,4
Caldas,Norcasia,17495,Mayor Adulto Entre 70-79 Años,7
Norte Santander,Labateca,54377,Mayor Joven Entre 60-69 Años,2
Santander,Betulia,68092,Mayor Joven Entre 60-69 Años,32
Bolívar,Arjona,13052,Mayor Adulto Entre 70-79 Años,28
Valle Del Cauca,Ulloa,76845,Adulto,3
Sucre,Majagual,70429,Adulto,29
Meta,El Calvario,50245,Nonagenario,4
Nariño,El Tablón De Gómez,52258,NoReporta,6
Norte Santander,Lourdes,54418,Mayor Joven Entre 60-69 Años,1
Magdalena,Fundación,47288,Mayor Joven Entre 60-69 Años,115
Magdalena,Ariguaní,47058,Centenario,1
Huila,San Agustín,41668,Mayor Adulto Entre 70-79 Años,7
Valle Del Cauca,Cali,76001,Adolescencia,1
Antioquia,Murindó,05475,Adulto,4
Guaviare,El Retorno,95025,Nonagenario,2
Cundinamarca,El Colegio,25245,NoReporta,1
Valle Del Cauca,La Cumbre,76377,Mayor Joven Entre 60-69 Años,13
Huila,Nátaga,41483,Adulto,27
Cundinamarca,Cota,25214,Adulto,1
Antioquia,Santa Bárbara,05679,Adulto Joven,1
Cesar,La Gloria,20383,Adulto,205
Tolima,Roncesvalles,73622,Mayor Adulto Entre 70-79 Años,26
Cundinamarca,Nocaima,25491,Adulto,1
Valle Del Cauca,Calima,76126,Mayor Adulto Entre 70-79 Años,49
Guaviare,San José Del Guaviare,95001,Nonagenario,9
Tolima,Coyaima,73217,Mayor Adulto Entre 70-79 Años,65
La Guajira,Barrancas,44078,Mayor Joven Entre 60-69 Años,45
Magdalena,Chibolo,47170,Infancia,1
Bolívar,Cartagena,13001,Mayor Mayor Entre 80-89 Años,13
Cesar,Aguachica,20011,Centenario,2
Casanare,Pore,85263,Mayor Joven Entre 60-69 Años,31
Caquetá,San Vicente Del Caguán,18753,Mayor Adulto Entre 70-79 Años,159
Caldas,Norcasia,17495,Mayor Joven Entre 60-69 Años,12
Caldas,Anserma,17042,Mayor Joven Entre 60-69 Años,17
Huila,Neiva,41001,Nonagenario,5
Antioquia,Remedios,05604,Mayor Joven Entre 60-69 Años,53
Norte Santander,Tibú,54810,Mayor Mayor Entre 80-89 Años,178
Bolívar,Cantagallo,13160,Mayor Joven Entre 60-69 Años,22
Santander,Sabana De Torres,68655,Nonagenario,15
Antioquia,Briceño,05107,Nonagenario,1
Antioquia,El Carmen De Viboral,05148,Adulto,39
Córdoba,Valencia,23855,Primera Infancia,0
Tolima,Dolores,73236,Adulto,58
Córdoba,Sahagún,23660,Adulto,3
Sucre,Morroa,70473,Mayor Mayor Entre 80-89 Años,60
Boyacá,Guateque,15322,Adulto,4
Magdalena,Plato,47555,Nonagenario,5
Tolima,Ortega,73504,Nonagenario,5
Sucre,San Marcos,70708,Mayor Adulto Entre 70-79 Años,1
Bolívar,El Carmen De Bolívar,13244,Nonagenario,108
Boyacá,Cuítiva,15226,Mayor Joven Entre 60-69 Años,8
Valle Del Cauca,Guacarí,76318,Mayor Mayor Entre 80-89 Años,3
Norte Santander,Arboledas,54051,Mayor Joven Entre 60-69 Años,10
Cauca,Caloto,19142,Nonagenario,4
Antioquia,La Unión,05400,Adulto,10
Nariño,Ancuyá,52036,Mayor Adulto Entre 70-79 Años,6
Antioquia,La Pintada,05390,Mayor Joven Entre 60-69 Años,4
Magdalena,El Banco,47245,Mayor Joven Entre 60-69 Años,12
Magdalena,Zapayán,47960,Centenario,1
Antioquia,Giraldo,05306,Adulto Joven,1
Norte Santander,Salazar,54660,Adulto,5
Cauca,Suárez,19780,NoReporta,3
Nariño,El Tambo,52260,Adulto,14
Norte Santander,Teorama,54800,Mayor Mayor Entre 80-89 Años,8
Magdalena,Tenerife,47798,NoReporta,3
Cesar,La Gloria,20383,Mayor Mayor Entre 80-89 Años,62
Cesar,Aguachica,20011,Nonagenario,9
Magdalena,Zona Bananera,47980,Centenario,1
Tolima,Ibagué,73001,Mayor Mayor Entre 80-89 Años,21
Antioquia,Montebello,05467,Mayor Joven Entre 60-69 Años,117
Caldas,Belalcázar,17088,Adulto,5
Nariño,Ipiales,52356,Mayor Mayor Entre 80-89 Años,22
Tolima,Melgar,73449,Adulto,4
Antioquia,Alejandría,05021,Adulto,10
Chocó,El Carmen De Atrato,27245,Mayor Joven Entre 60-69 Años,47
Santander,San Gil,68679,Centenario,1
Bolívar,Santa Rosa Del Sur,13688,Adulto,69
Cesar,Valledupar,20001,Adulto,369
Antioquia,Abejorral,05002,Mayor Joven Entre 60-69 Años,19
Santander,El Playón,68255,Mayor Joven Entre 60-69 Años,22
Cundinamarca,Caqueza,25151,Adulto,1
Tolima,Saldaña,73671,NoReporta,1
Magdalena,Ciénaga,47189,Mayor Joven Entre 60-69 Años,259
Sucre,Ovejas,70508,Mayor Joven Entre 60-69 Años,227
Córdoba,Montelíbano,23466,Centenario,2
Norte Santander,Sardinata,54720,Adulto Joven,3
Santander,El Peñón,68250,Mayor Mayor Entre 80-89 Años,5
Sucre,Chalán,70230,Mayor Joven Entre 60-69 Años,40
Atlántico,Sabanalarga,08638,Adulto,8
Atlántico,Manatí,08436,Adulto,1
Chocó,Quibdó,27001,Adulto,72
Valle Del Cauca,Bolívar,76100,Nonagenario,2
Valle Del Cauca,El Cairo,76246,Nonagenario,1
Atlántico,Barranquilla,08001,Mayor Adulto Entre 70-79 Años,18
Norte Santander,Cachirá,54128,NoReporta,2
Antioquia,Ituango,05361,Adulto,123
Bolívar,Río Viejo,13600,Mayor Mayor Entre 80-89 Años,9
Bolívar,Clemencia,13222,Mayor Adulto Entre 70-79 Años,8
Magdalena,Pijiño Del Carmen,47545,Mayor Joven Entre 60-69 Años,3
Chocó,Unguía,27800,Mayor Adulto Entre 70-79 Años,44
Meta,Puerto Rico,50590,Adulto,346
Antioquia,El Bagre,05250,Mayor Joven Entre 60-69 Años,202
Cauca,Guapí,19318,Adulto,41
Caquetá,Valparaíso,18860,Mayor Adulto Entre 70-79 Años,70
Magdalena,San Sebastián De Buenavista,47692,Mayor Adulto Entre 70-79 Años,3
Cesar,La Gloria,20383,NoReporta,3
Arauca,Saravena,81736,Adulto,78
Norte Santander,El Tarra,54250,NoReporta,3
Caldas,Villamaría,17873,Mayor Joven Entre 60-69 Años,10
Amazonas,Leticia,91001,Adulto,4
Casanare,Pore,85263,Adulto Joven,1
Bolívar,El Peñón,13268,Mayor Joven Entre 60-69 Años,2
Antioquia,Ituango,05361,Mayor Joven Entre 60-69 Años,95
Santander,El Playón,68255,NoReporta,3
Boyacá,Pesca,15542,Adulto,6
Nariño,La Unión,52399,Mayor Mayor Entre 80-89 Años,14
Tolima,Líbano,73411,Adulto Joven,0
Meta,Guamal,50318,Mayor Mayor Entre 80-89 Años,2
Risaralda,Belén De Umbría,66088,Nonagenario,1
Meta,Vistahermosa,50711,Infancia,2
Valle Del Cauca,Bolívar,76100,Mayor Mayor Entre 80-89 Años,27
Antioquia,Carepa,05147,Mayor Adulto Entre 70-79 Años,40
Santander,Floridablanca,68276,Mayor Adulto Entre 70-79 Años,2
Arauca,Cravo Norte,81220,Mayor Adulto Entre 70-79 Años,14
Antioquia,Santafé De Antioquia,05042,Mayor Joven Entre 60-69 Años,11
Boyacá,El Espino,15248,Adulto,2
Chocó,Lloró,27413,NoReporta,1
Putumayo,Orito,86320,Infancia,3
Tolima,Coyaima,73217,Adulto,91
Chocó,Bahía Solano,27075,NoReporta,1
Valle Del Cauca,Tuluá,76834,Centenario,1
Cauca,Santa Rosa,19701,Mayor Adulto Entre 70-79 Años,68
Tolima,Dolores,73236,NoReporta,1
Putumayo,San Miguel,86757,Adulto,534
Cundinamarca,Topaipí,25823,Adulto,23
Antioquia,Buriticá,05113,Mayor Adulto Entre 70-79 Años,2
Antioquia,El Carmen De Viboral,05148,NoReporta,7
Antioquia,Girardota,05308,NoReporta,3
Cauca,Piamonte,19533,Adulto Joven,3
Antioquia,Caldas,05129,Adulto,13
Caquetá,Solano,18756,Mayor Joven Entre 60-69 Años,65
Risaralda,Pereira,66001,Mayor Adulto Entre 70-79 Años,11
Santander,Vélez,68861,Adulto,3
Cauca,Puracé,19585,Adulto,21
Putumayo,Puerto Asís,86568,Mayor Mayor Entre 80-89 Años,34
Chocó,Unión Panamericana,27810,Mayor Adulto Entre 70-79 Años,5
Antioquia,Don Matías,05237,Adulto,1
Córdoba,Puerto Escondido,23574,Infancia,1
Bolívar,Norosí,13490,Nonagenario,1
Tolima,Ataco,73067,Adulto Joven,6
Meta,Cumaral,50226,Mayor Joven Entre 60-69 Años,5
Cundinamarca,Chaguaní,25168,Nonagenario,2
Magdalena,Pivijay,47551,Adolescencia,1
Antioquia,Nariño,05483,Mayor Adulto Entre 70-79 Años,44
Bolívar,Mahates,13433,Adulto,7
Tolima,Ortega,73504,NoReporta,2
Chocó,Medio San Juan,27450,Adulto,14
Boyacá,San Luis De Gaceno,15667,Adulto,3
Boyacá,San Luis De Gaceno,15667,Mayor Joven Entre 60-69 Años,5
Antioquia,Concepción,05206,Nonagenario,1
Vichada,Cumaribo,99773,Centenario,2
Santander,Oiba,68500,Adulto,4
Bolívar,Cantagallo,13160,Mayor Adulto Entre 70-79 Años,28
Vaupés,Taraira,97666,Mayor Mayor Entre 80-89 Años,1
Tolima,San Luis,73678,Mayor Joven Entre 60-69 Años,34
Risaralda,La Virginia,66400,Adulto,2
Córdoba,Ayapel,23068,Centenario,1
Boyacá,Chitaraque,15185,Adulto,1
Cesar,Curumaní,20228,Mayor Joven Entre 60-69 Años,93
Cauca,Inzá,19355,Mayor Mayor Entre 80-89 Años,12
Santander,Floridablanca,68276,Adulto,7
Cauca,Sucre,19785,Nonagenario,0
Boyacá,Socotá,15755,Nonagenario,2
Putumayo,San Miguel,86757,Nonagenario,9
Norte Santander,La Esperanza,54385,Nonagenario,1
Bolívar,María La Baja,13442,Mayor Mayor Entre 80-89 Años,80
Antioquia,La Pintada,05390,Mayor Adulto Entre 70-79 Años,1
Cundinamarca,Fomeque,25279,Mayor Joven Entre 60-69 Años,4
Risaralda,Pueblo Rico,66572,Adulto,90
Valle Del Cauca,Restrepo,76606,NoReporta,3
Sucre,Sucre,70771,Mayor Mayor Entre 80-89 Años,8
Tolima,Rioblanco,73616,Centenario,1
Córdoba,Puerto Escondido,23574,Adulto Joven,1
Santander,La Belleza,68377,Adulto,9
Sucre,San Marcos,70708,Mayor Joven Entre 60-69 Años,8
Putumayo,Puerto Caicedo,86569,Nonagenario,5
Guainía,Morichal,94888,Adulto,1
Cundinamarca,Ricaurte,25612,Adulto,2
Antioquia,Cocorná,05197,NoReporta,6
Tolima,Santa Isabel,73686,Nonagenario,1
Caquetá,Cartagena Del Chairá,18150,Nonagenario,15
Antioquia,La Estrella,05380,Adulto,2
Putumayo,Villa Garzón,86885,Mayor Adulto Entre 70-79 Años,107
Antioquia,Anorí,05040,Mayor Joven Entre 60-69 Años,25
Antioquia,Concordia,05209,Nonagenario,1
Cesar,Chiriguaná,20178,Nonagenario,10
Cundinamarca,Cota,25214,NoReporta,3
Magdalena,Ciénaga,47189,Mayor Adulto Entre 70-79 Años,199
Norte Santander,Toledo,54820,Mayor Joven Entre 60-69 Años,12
Meta,Vistahermosa,50711,NoReporta,7
Santander,Guaca,68318,Nonagenario,2
Meta,Villavicencio,50001,Mayor Mayor Entre 80-89 Años,15
Antioquia,Cocorná,05197,Adulto,128
Cauca,Popayán,19001,Nonagenario,2
Antioquia,Venecia,05861,NoReporta,6
Magdalena,Algarrobo,47030,Mayor Adulto Entre 70-79 Años,9
Boyacá,Cubará,15223,Mayor Mayor Entre 80-89 Años,4
Cundinamarca,Bituima,25095,Adulto,1
Bolívar,Zambrano,13894,Centenario,4
Cauca,Morales,19473,Mayor Mayor Entre 80-89 Años,9
Tolima,Roncesvalles,73622,Mayor Mayor Entre 80-89 Años,17
Quindío,Génova,63302,Mayor Adulto Entre 70-79 Años,1
Norte Santander,El Tarra,54250,Nonagenario,2
Sucre,Tolú Viejo,70823,Mayor Adulto Entre 70-79 Años,29
Bolívar,Achí,13006,Nonagenario,1
Valle Del Cauca,Riofrío,76616,Mayor Joven Entre 60-69 Años,34
Valle Del Cauca,Sevilla,76736,Mayor Mayor Entre 80-89 Años,3
Valle Del Cauca,Guadalajara De Buga,76111,Adulto,83
Caquetá,Belén De Los Andaquies,18094,Mayor Adulto Entre 70-79 Años,24
Tolima,Rioblanco,73616,Mayor Adulto Entre 70-79 Años,118
Huila,Guadalupe,41319,Adulto,20
Boyacá,Puerto Boyacá,15572,Adulto,24
Cauca,Santa Rosa,19701,Mayor Mayor Entre 80-89 Años,26
Córdoba,Ure,23682,Mayor Joven Entre 60-69 Años,76
Meta,Granada,50313,Adulto,45
Cundinamarca,La Peña,25398,Adulto,9
Antioquia,Carepa,05147,Mayor Mayor Entre 80-89 Años,23
Cesar,Manaure,20443,Mayor Mayor Entre 80-89 Años,8
Valle Del Cauca,Alcalá,76020,Adulto,4
Cundinamarca,Gutiérrez,25339,NoReporta,0
Antioquia,MEDELLÍN,05001,Mayor Joven Entre 60-69 Años,297
Cauca,Morales,19473,Mayor Adulto Entre 70-79 Años,21
Cesar,Bosconia,20060,Mayor Adulto Entre 70-79 Años,15
Sucre,Galeras,70235,Mayor Joven Entre 60-69 Años,31
Cauca,Piamonte,19533,Adolescencia,1
Meta,San Martín,50689,Adulto Joven,1
Antioquia,San Pedro de Urabá,05665,Adulto Joven,1
Arauca,Cravo Norte,81220,NoReporta,1
Bolívar,Talaigua Nuevo,13780,Adulto,1
Casanare,Recetor,85279,Adulto,6
Cundinamarca,Pulí,25580,Nonagenario,1
Norte Santander,Pamplona,54518,Nonagenario,1
Tolima,Rioblanco,73616,Mayor Joven Entre 60-69 Años,213
Norte Santander,Cúcuta,54001,Infancia,2
Valle Del Cauca,Dagua,76233,Mayor Joven Entre 60-69 Años,74
Cundinamarca,Pacho,25513,Nonagenario,1
Chocó,Cértegui,27160,Adulto,5
Córdoba,Ayapel,23068,Mayor Mayor Entre 80-89 Años,16
Tolima,Dolores,73236,Mayor Adulto Entre 70-79 Años,46
Nariño,San Bernardo,52685,NoReporta,1
Antioquia,MEDELLÍN,05001,NoReporta,19
Santander,Sabana De Torres,68655,Mayor Joven Entre 60-69 Años,122
Tolima,Planadas,73555,Mayor Joven Entre 60-69 Años,132
Santander,Suaita,68770,Adulto,14
Antioquia,Entrerrios,05264,Adulto,8
Bolívar,Santa Catalina,13673,NoReporta,1
Magdalena,Aracataca,47053,Mayor Mayor Entre 80-89 Años,58
Valle Del Cauca,Dagua,76233,Nonagenario,5
Santander,Girón,68307,Mayor Mayor Entre 80-89 Años,8
Caquetá,El Paujil,18256,Nonagenario,1
Nariño,Ipiales,52356,Mayor Adulto Entre 70-79 Años,29
Putumayo,Puerto Leguízamo,86573,Centenario,2
Santander,San Vicente De Chucurí,68689,NoReporta,6
Tolima,Rioblanco,73616,Adulto Joven,4
Meta,Puerto Rico,50590,Centenario,1
Tolima,Lérida,73408,Mayor Adulto Entre 70-79 Años,44
Vichada,La Primavera,99524,Mayor Adulto Entre 70-79 Años,17
Casanare,Pore,85263,Mayor Adulto Entre 70-79 Años,26
Nariño,Albán,52019,NoReporta,4
Magdalena,Remolino,47605,Mayor Adulto Entre 70-79 Años,132
Risaralda,Santuario,66687,Adulto,19
Magdalena,Pedraza,47541,NoReporta,1
Magdalena,El Piñon,47258,Centenario,1
Bolívar,Zambrano,13894,Infancia,0
Antioquia,Marinilla,05440,NoReporta,2
Antioquia,Uramita,05842,Nonagenario,1
Santander,San Andrés,68669,Adulto,5
Santander,Socorro,68755,Adulto,2
Caldas,Salamina,17653,Nonagenario,2
Cauca,Caloto,19142,Adulto,26
Guainía,Mapiripana,94663,Mayor Adulto Entre 70-79 Años,0
Nariño,Olaya Herrera,52490,Mayor Mayor Entre 80-89 Años,9
Magdalena,Ciénaga,47189,Adulto Joven,12
Boyacá,Almeida,15022,Adulto,1
Santander,Lebríja,68406,Adulto,59
Bolívar,Mompós,13468,Nonagenario,1
Sucre,San Onofre,70713,Adulto,72
Arauca,Arauca,81001,Adulto Joven,1
Huila,Garzón,41298,Adulto Joven,1
Chocó,Sipí,27745,NoReporta,1
Bolívar,Clemencia,13222,Adulto,11
Sucre,Tolú Viejo,70823,Adulto,23
Nariño,Guaitarilla,52320,Adulto,2
Antioquia,Yondó,05893,Nonagenario,5
Córdoba,Canalete,23090,Nonagenario,5
Cesar,Pailitas,20517,Nonagenario,8
Meta,El Castillo,50251,Centenario,4
Cesar,Astrea,20032,Mayor Joven Entre 60-69 Años,26
La Guajira,Distracción,44098,Mayor Adulto Entre 70-79 Años,15
Guaviare,Calamar,95015,Mayor Joven Entre 60-69 Años,55
Córdoba,Chinú,23182,Adulto,10
Risaralda,Mistrató,66456,Adulto,30
Cundinamarca,Villapinzón,25873,Mayor Joven Entre 60-69 Años,2
Cesar,Pailitas,20517,Mayor Joven Entre 60-69 Años,87
Norte Santander,Salazar,54660,NoReporta,0
Cesar,González,20310,Adulto,2
Nariño,Los Andes,52418,Nonagenario,10
Risaralda,Pueblo Rico,66572,Mayor Mayor Entre 80-89 Años,27
Santander,Betulia,68092,NoReporta,1
Tolima,Mariquita,73443,Nonagenario,3
Caquetá,Cartagena Del Chairá,18150,Adulto Joven,8
Cauca,Caldono,19137,NoReporta,1
Santander,Carcasí,68152,Mayor Joven Entre 60-69 Años,2
La Guajira,San Juan Del Cesar,44650,Mayor Joven Entre 60-69 Años,24
Chocó,Bagadó,27073,Mayor Joven Entre 60-69 Años,32
Antioquia,Turbo,05837,Adulto Joven,10
Chocó,Unguía,27800,NoReporta,2
Cundinamarca,Villapinzón,25873,Adulto,1
Caldas,Norcasia,17495,NoReporta,1
Tolima,Lérida,73408,Mayor Joven Entre 60-69 Años,62
Antioquia,Heliconia,05347,Nonagenario,2
Quindío,Córdoba,63212,Mayor Adulto Entre 70-79 Años,8
Magdalena,Fundación,47288,Nonagenario,11
Chocó,Bagadó,27073,Mayor Mayor Entre 80-89 Años,12
Cundinamarca,San Antonio Del Tequendama,25645,Adulto,1
Huila,Colombia,41206,Adulto Joven,1
Chocó,Río Quito,27600,Adulto,8
Santander,Sabana De Torres,68655,NoReporta,9
Córdoba,Ayapel,23068,Nonagenario,3
Valle Del Cauca,Andalucía,76036,Adulto,4
Bogotá D.C.,Bogotá,11001,Adulto,120
Antioquia,Ebéjico,05240,Mayor Adulto Entre 70-79 Años,2
Huila,Baraya,41078,Mayor Joven Entre 60-69 Años,71
Norte Santander,Hacarí,54344,Adulto,31
Cundinamarca,Pasca,25535,Mayor Joven Entre 60-69 Años,9
Boyacá,Muzo,15480,NoReporta,2
Meta,Puerto Concordia,50450,Mayor Mayor Entre 80-89 Años,12
Tolima,Planadas,73555,Adulto,187
Antioquia,Mutatá,05480,Mayor Joven Entre 60-69 Años,162
Boyacá,Otanche,15507,Adulto,15
Cundinamarca,Gutiérrez,25339,Centenario,1
Antioquia,Salgar,05642,Centenario,1
Antioquia,Anorí,05040,Mayor Mayor Entre 80-89 Años,16
Cundinamarca,Yacopí,25885,NoReporta,3
Antioquia,Maceo,05425,Mayor Adulto Entre 70-79 Años,28
Atlántico,Santo Tomás,08685,Adulto,1
Norte Santander,Cúcuta,54001,Mayor Adulto Entre 70-79 Años,86
Cesar,Chiriguaná,20178,Mayor Mayor Entre 80-89 Años,24
Valle Del Cauca,Pradera,76563,Mayor Mayor Entre 80-89 Años,12
Antioquia,Dabeiba,05234,Adulto,198
Casanare,Trinidad,85430,Mayor Joven Entre 60-69 Años,14
Santander,Cimitarra,68190,Mayor Adulto Entre 70-79 Años,63
Nariño,Mallama,52435,Mayor Adulto Entre 70-79 Años,6
Caldas,Chinchiná,17174,Adulto,4
Antioquia,Tarso,05792,Nonagenario,0
Valle Del Cauca,Bolívar,76100,Mayor Adulto Entre 70-79 Años,36
Bolívar,Norosí,13490,Mayor Mayor Entre 80-89 Años,4
Sucre,Ovejas,70508,Infancia,1
Cundinamarca,San Juan De Río Seco,25662,Nonagenario,2
Córdoba,Purísima,23586,Mayor Joven Entre 60-69 Años,1
Meta,Puerto Rico,50590,NoReporta,3
Cauca,Argelia,19050,Adulto Joven,4
Tolima,Cajamarca,73124,Centenario,1
Cauca,Almaguer,19022,Mayor Joven Entre 60-69 Años,16
Antioquia,Betania,05091,Mayor Mayor Entre 80-89 Años,2
Norte Santander,Ragonvalia,54599,Mayor Joven Entre 60-69 Años,1
Antioquia,Maceo,05425,NoReporta,4
Casanare,Sácama,85315,Nonagenario,2
Nariño,Tangua,52788,Mayor Joven Entre 60-69 Años,37
Valle Del Cauca,Tuluá,76834,Infancia,1
Cundinamarca,Zipaquirá,25899,Adulto,2
